,10,15,20.0,,,25.0,30.0,,,35.0,40.0,,,45.0,50.0,,,55.0,60.0,,,65.0,70.0,,,75,85,95,100
750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,,,,,,,,,,,1.0,70.9,74.2,,,,,,,,,,,,,,,,
1125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500,,,,,,,1.1,80.9,88.5,,1.1,80.7,87.0,,1.0,85.5,89.2,,1.1,87.0,98.5,,1.1,87.0,99.5,,,,
1750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,0.9,85.4,73.6,,0.9,83.5,76.2,,1.1,87.9,95.7,,1.0,94.8,96.7,,1.0,93.9,93.9,,,,,,,,
2250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500,,,0.9,84.0,71.7,,1.0,102.0,104.5,,1.0,105.1,106.3,,1.0,105.3,104.6,,1.0,98.6,96.4,,1.0,90.0,87.6,,,,
2750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3000,,,0.8,83.5,67.8,,1.0,100.3,103.9,,1.0,116.3,119.9,,1.0,116.4,118.3,,1.0,113.1,113.8,,1.0,108.8,112.4,,,,
3500,,,0.8,83.7,70.4,,1.0,102.0,105.5,,1.0,120.6,124.2,,1.0,124.2,129.5,,1.0,123.2,126.3,,1.0,120.9,124.9,,,,
4000,,,0.9,83.3,76.4,,1.1,102.6,108.2,,1.0,121.2,126.0,,1.0,127.3,127.7,,1.0,125.7,121.3,,1.0,121.8,121.6,,,,
4500,,,,,,,0.9,103.4,94.9,,1.0,117.0,114.8,,1.0,124.8,119.5,,0.9,120.8,110.6,,0.9,115.3,108.8,,,,
5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
